Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Oliver Wyman - Lead Data Scientist,Oliver Wyman Group,"Hybrid work in Chicago, IL 60606","Boston, Chicago, New York, Dallas, Toronto, Montreal Lead Data Scientist ____ WHO WE ARE Oliver Wyman is a global leader in management consulting. With…·More...",,"From $86,500 a year",
"Senior Data Analyst, HR Operations","FTI Consulting, Inc.","Remote in Chicago, IL","Who We Are FTI Consulting is the world’s leading expert-driven consulting firm. Over the last 40 years, FTI Consulting experts have served as the trusted…·More...",,"From $86,500 a year",
"data scientist jobs in Chicago, IL",,,,,,
"Senior Data Analyst, HR Operations","FTI Consulting, Inc.","Remote in Chicago, IL","  5+ years of relevant professional experience with data management, analytics, and insights.  Build models to support data-driven decisions. ·More...",,"From $86,500 a year",
Sr. Data Scientist - Hybrid,Alliant Credit Union,"Chicago, IL (O'Hare International Airport area)","  Perform data analytics such as data mining, statistical analysis, and predictive analytics and develop, document, and support the deployment of quantitative… ·More...",,"From $86,500 a year",
Predoctoral Scholar - Machine Learning Data Scientist,The University of Chicago,"Chicago, IL 60637 (Woodlawn area)",  Develop classification models using supervised and unsupervised machine learning/deep learning techniques for various research applications. ·More...,,"From $86,500 a year",
Lead Data Scientist,Zoro,"Chicago, IL","  You serve as a technical expert, applying advanced data science methodologies to address business needs.  You assess and manage risks associated with production… ·More...",,"From $86,500 a year",
Data Scientist - AM&M - Senior - Consulting - Location OPEN,EY,"Chicago, IL 60606 (The Loop area)","  A bachelor’s degree in engineering, advanced data analytics, or a similar technical field.  Proficiency in data mining, data engineering, statistical tools, and… ·More...",,"From $86,500 a year",
Data Scientist - AM&M - Manager - Consulting - Location OPEN,EY,"Chicago, IL 60606 (The Loop area)","  Familiarity with data mining, data engineering, statistical tools, and development in Python, R, SAS, SQL, Java/C#, or similar. ·More...",,"From $86,500 a year",
"Sr Data Scientist-Merchandising, Marketing Measurement & Revenue Growth (Remote/Virtual)","US Foods, Inc.","Remote in Des Plaines, IL 60018","  A Master’s degree in statistics, mathematics, data science, operations research, applied analytics, computer science, information systems, or other quantitative… ·More...",,"From $86,500 a year",
Applied AI/ML Lead,JPMorgan Chase,"Chicago, IL 60601","  These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition… ·More...",,"From $86,500 a year",
Research Specialist - (Statistician) - CEHI,University of Illinois,"Chicago, IL 60607 (University Village - Little Italy area)","  Knowledge and skills in data manipulation and analysis using SAS, R, and/or Python; statistical methods, including linear and non-linear regression, multilevel… ·More...",,"From $86,500 a year",
"Create a DataCamp Course - Artificial Intelligence (Part-Time, Freelance)",DataCamp,"Remote in Chicago, IL","  Serving as the subject matter expert, you will collaborate with our curriculum experts and content team, and dedicate approximately 10-15 hours per week over 12… ·More...",,"From $86,500 a year",
Sr.Data Scientist,Sky Consulting Inc,"Chicago, IL 60601",  Experience leading end-to-end data science project implementation.  Responsible for the development and implementation of machine learning algorithms and… ·More...,,"From $86,500 a year",
Data Scientist,Wintrust Financial,"Hybrid work in Rosemont, IL 60018","  Lead the design and implementation of data analytics tests in supporting audit projects, including apply various machine learning techniques in Python to… ·More...",,"From $86,500 a year",
Senior Data Scientist Insurance,TransUnion,"Hybrid work in Chicago, IL",  Contribute to research and innovation initiatives in collaboration with other DSA peers and may lead small analytic research teams or manage research interns on… ·More...,,"From $86,500 a year",
ML Engineer,NinjaTrader,"Chicago, IL","  Build, deploy, and maintain machine learning models for financial analytics, predictive insights, and recommendation systems.  401k with 3.5% Company Match. ·More...",,"From $86,500 a year",
Data Scientist,WellBe Senior Medical,"Chicago, IL",  7+ years of hands-on experience in with data analysis and predictive analytics machine learning/statistical modeling techniques. ·More...,,"From $86,500 a year",
"data scientist jobs in Chicago, IL",,,,,,
"Senior Engineer, Software (Machine Learning and Audio)",Shure,"Hybrid work in Niles, IL 60714","  Works closely with applied research scientists to iteratively develop, implement, and validate machine learning models for both prototyping efforts as well as… ·More...",,"$133,000 - $145,000 a year",
"Assistant Professor in Statistical Machine Learning, AI, and Decision Sciences for Manufacturing Systems",Northwestern University,"Evanston, IL","  At Northwestern, we are proud to provide meaningful, competitive, high-quality health care plans, retirement benefits, tuition discounts and more! ·More...",,"$133,000 - $145,000 a year",
Senior AI Engineer,AHEAD,"Hybrid work in Chicago, IL 60611","  Mentor and provide guidance to junior data scientists.  Minimum of 5 years of experience in a data science-related role, with a focus on machine learning and… ·More...",,"$133,000 - $145,000 a year",
Principal Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60611","  Clinical programming (CDISC) experience; Master's degree in CS, statistics or related disciplines with 5 yrs. of clinical programming (CDISC) experience. ·More...",,"$133,000 - $145,000 a year",
Global Learning Data & Insights Lead,Mars,"Chicago, IL 60601","  Apply predictive analytics and machine learning models to forecast learning needs, employee development paths, and talent management trends, providing… ·More...",,"$133,000 - $145,000 a year",
SAS / Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60601","  Create ADS /ADAM datasets from RAW / SDTM datasets according to project / CDISC analysis data model standards; Independently write, test, run, document,… ·More...",,"$133,000 - $145,000 a year",
Senior Statistical Research Analyst,TransUnion,"Chicago, IL","  Experience with big data platforms (e.g. Apache Hadoop, Apache Spark, Hive, etc. ) and data visualization tools like Tableau.  5+ years of analytical experience. ·More...",,"$133,000 - $145,000 a year",
"Principal Software Engineer, Applied AI, Office of CTO",Google,"Chicago, IL (West Town area)","  The US base salary range for this full-time position is $253,000-$363,000 + bonus + equity + benefits.  Bachelor's degree in a technical field, or equivalent… ·More...",,"$133,000 - $145,000 a year",
Army Civilian Readiness and Talent Management (CRTM) Operations Research/Systems Analysis (ORSA)/Data Scientist,Arcetyp LLC,"Chicago, IL 60606",  Facilitate enterprise data sharing with the formation of data standards for integrating marketing analytics from enterprise efforts (including local advertising… ·More...,,"$133,000 - $145,000 a year",
Lead Generative AI Engineer,Sidley Austin LLP,"Chicago, IL 60603 (The Loop area)","  Strong understanding of machine learning and deep learning concepts including transformer based GPT models.  This role will leverage expertise in AI engineering,… ·More...",,"$133,000 - $145,000 a year",
Deep Learning Researcher – HFT Prop-Firm,J.K. Barnes,"Chicago, IL",  At least 3 first-authored papers in the past 3 years.  We seek a Deep-Learning researcher with comprehensive academic or industrial experience in developing and… ·More...,,"$133,000 - $145,000 a year",
Senior Machine Learning Engineer,Fitch Group,"Chicago, IL",  Collaborate with data scientists to identify innovative machine learning and Gen AI solutions that leverage data to meet business goals. ·More...,,"$133,000 - $145,000 a year",
Lead Director - Data Science - AI,CVS Health,"Remote in Chicago, IL 60606","  Lead and manage a team of AI professionals, fostering a culture of innovation and continuous improvement.  Bachelor’s degree in Mathematics, Statistics, Computer… ·More...",,"$133,000 - $145,000 a year",
Product Owner - LLM & NLP,Intelligent Medical Objects,"Hybrid work in Chicago, IL",  Healthcare industry experience is highly preferred; familiarity with healthcare data and clinical code sets is a strong plus. ·More...,,"$133,000 - $145,000 a year",
Senior Risk Data Analyst,Kirkland and Ellis,"Hybrid work in Chicago, IL 60654","  Maintain data integrity through quality checks, data validation, and proper data storage.  Use statistical methods to interpret data and produce actionable… ·More...",,"$133,000 - $145,000 a year",
"data scientist jobs in Chicago, IL",,,,,,
Principal AI Scientist - Payments Analytics Studio,U.S. Bank National Association,"Chicago, IL 60603",,,,
AI Engineer (Digital Consulting Senior Manager),Huron Consulting Group Inc.,"Chicago, IL",,,,
"Senior Associate, EVS, Economic & Statistical Consulting - PhD",KPMG,"Chicago, IL 60601 (The Loop area)",,,,
"Conversational AI Consultant, Google Cloud Professional Services",Google,"Chicago, IL (West Town area)",,,,
Technical Development Lead - AI Transformation,Crowe LLP,"Chicago, IL 60606 (The Loop area)",,,,
Digital Analytics & Data Science Expert Manager,Capgemini,"Chicago, IL 60606",,,,
"Sr Consultant, IT Strategy Consulting - AI/Generative AI",Gartner,"Hybrid work in Chicago, IL",,,,
Senior Software Engineer (Developer/Java/AI),CNA Insurance,"Chicago, IL",,,,
Senior AI Tech Scout - Tooling,Crowe LLP,"Chicago, IL 60606 (The Loop area)",,,,
"Associate Managing Director, Data Strategy - AI/ML",Publicis Sapient,"Chicago, IL 60601 (The Loop area)",,,,
"AI Consultant, Professional Services, Google Cloud",Google,"Chicago, IL (West Town area)",,,,
"Lead Specialist, AI Solutions Architect",KPMG,"Chicago, IL 60601 (The Loop area)",,,,
"Senior ML Engineer - RAG, VertexAI Solutions",Accenture,"Chicago, IL",,,,
Responsible AI - Technology Architecture Associate Manager,Accenture,"Hybrid work in Chicago, IL",,,,
Data & AI Platform Delivery Lead (GCP),Accenture,"Hybrid work in Chicago, IL",,,,
"data scientist jobs in Chicago, IL",,,,,,
Senior Data Analyst,TPN,"Chicago, IL","  Stay abreast of industry trends and advancements in data analytics, applying new techniques and technologies to continuously improve our analytical capabilities… ·More...",,"$84,000 - $202,000 a year",
AI & GenAI Data Scientist-Senior Associate,PRICE WATERHOUSE COOPERS,"Chicago, IL",  Directing data engineers and other data scientists to deliver efficient solutions to meet client requirements;  Minimum Year(s) of Experience. ·More...,,"$84,000 - $202,000 a year",
"Technical Curriculum Developer, Security, Cloud Learning Services",Google,"Chicago, IL (West Town area)",  4 years of experience in collaborating with technical subject matter experts to develop training content and curricula. ·More...,,"$84,000 - $202,000 a year",
INTERDISCIPLINARY (Ops Research Analyst/Mathematician/Statistician/Computer Sci/Data Sci),U.S. Army Corps of Engineers,"Chicago, IL","  Create project reports to highlight trends and projections to support informed decisions based on the current project status, and monitor the budgeting process… ·More...",,"$84,000 - $202,000 a year",
"Senior Analyst, Data Science",GroupM Choreograph,"Chicago, IL 60607","  Familiarity with data visualization dashboard platforms such Looker or Domo is a plus.  Our benefits include competitive medical, vision, and dental insurance,… ·More...",,"$84,000 - $202,000 a year",
"Manager, Safety Statistical Programming (Remote)",AbbVie,"Remote in Chicago, IL","  Leads the statistical programming activities for three or more compounds in creating integrated safety data sets to support safety monitoring, signal detection,… EmployerActive 7 days ago·More...",,"$84,000 - $202,000 a year",Active 7 days ago
Machine Learning Engineer,Velvetech,"Chicago, IL","  The successful candidate will have a strong background in working with AI models, creating custom workspaces for ChatGPT, and connecting external data sources… ·More...",,"$84,000 - $202,000 a year",
AI Data Specialist,Deloitte,"Chicago, IL 60606 (The Loop area)","  You will work closely with cross-functional teams including data scientists, engineers, and business consultants to design scalable AI architectures and… ·More...",,"$84,000 - $202,000 a year",
Senior Applied Machine Learning Scientist,Grainger,"Hybrid work in Chicago, IL 60661","  Work closely with other ML scientists, engineers, and product managers to integrate your models into Grainger's platforms.  Proficient in Python and SQL. ·More...",,"$84,000 - $202,000 a year",
AI Development Manager,"PLS Financial Services, Inc.","Oak Brook, IL 60523","  2+ years of experience with data modeling and data exploration tools, including expertise in the use of scientific computing and data management packages. ·More...",,"$84,000 - $202,000 a year",
Senior Data Analyst,American Medical Association,"Hybrid work in Chicago, IL 60611","  7+ years experience in data analytics, database marketing, campaign management/effectiveness tools, and other functions related to measuring/improving key… ·More...",,"$84,000 - $202,000 a year",
"DIRECTOR, MACHINE LEARNING ENGINEERING/MLOPS","Hyatt Corporate Office, Chicago","Chicago, IL","  Partner with data scientists to design workflows/architectures that activate ML models and maximize their impact, such as real-time streaming use cases and… ·More...",,"$84,000 - $202,000 a year",
"Conversational AI Consultant, Google Cloud Professional Services",Google,"Chicago, IL (West Town area)","  3 years of experience project managing and delivering technical solutions.  Experience in cognitive AI, NLU, speech to text, text to speech and machine learning. ·More...",,"$84,000 - $202,000 a year",
"Senior Engineer, Software (Machine Learning and Audio)",Shure,"Hybrid work in Niles, IL 60714","  Works closely with applied research scientists to iteratively develop, implement, and validate machine learning models for both prototyping efforts as well as… ·More...",,"$84,000 - $202,000 a year",
"Assistant Professor in Statistical Machine Learning, AI, and Decision Sciences for Manufacturing Systems",Northwestern University,"Evanston, IL","  At Northwestern, we are proud to provide meaningful, competitive, high-quality health care plans, retirement benefits, tuition discounts and more! ·More...",,"$84,000 - $202,000 a year",
"data scientist jobs in Chicago, IL",,,,,,
"Manager, Safety Statistical Programming (Remote)",AbbVie,"Remote in Chicago, IL","  Leads the statistical programming activities for three or more compounds in creating integrated safety data sets to support safety monitoring, signal detection,… EmployerActive 7 days ago·More...",,"$200,000 - $280,000 a year",Active 7 days ago
Staff Machine Learning Engineer,Angi,"Remote in Chicago, IL","  Collaboration with Cross-Functional Teams: Work closely with a strong team of engineers, data scientists, product managers, and designers to build scalable and… ·More...",,"$200,000 - $280,000 a year",
Global Learning Data & Insights Lead,Mars,"Chicago, IL 60601","  Apply predictive analytics and machine learning models to forecast learning needs, employee development paths, and talent management trends, providing… ·More...",,"$200,000 - $280,000 a year",
"Conversational AI Consultant, Google Cloud Professional Services",Google,"Chicago, IL (West Town area)","  3 years of experience project managing and delivering technical solutions.  Experience in cognitive AI, NLU, speech to text, text to speech and machine learning. ·More...",,"$200,000 - $280,000 a year",
Senior Data Analyst,American Medical Association,"Hybrid work in Chicago, IL 60611","  7+ years experience in data analytics, database marketing, campaign management/effectiveness tools, and other functions related to measuring/improving key… ·More...",,"$200,000 - $280,000 a year",
Product Owner - LLM & NLP,Intelligent Medical Objects,"Hybrid work in Chicago, IL",  Healthcare industry experience is highly preferred; familiarity with healthcare data and clinical code sets is a strong plus. ·More...,,"$200,000 - $280,000 a year",
"Assistant Professor in Statistical Machine Learning, AI, and Decision Sciences for Manufacturing Systems",Northwestern University,"Evanston, IL","  At Northwestern, we are proud to provide meaningful, competitive, high-quality health care plans, retirement benefits, tuition discounts and more! ·More...",,"$200,000 - $280,000 a year",
Senior Machine Learning Engineer,Fitch Group,"Chicago, IL",  Collaborate with data scientists to identify innovative machine learning and Gen AI solutions that leverage data to meet business goals. ·More...,,"$200,000 - $280,000 a year",
SAS / Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60601","  Create ADS /ADAM datasets from RAW / SDTM datasets according to project / CDISC analysis data model standards; Independently write, test, run, document,… ·More...",,"$200,000 - $280,000 a year",
Senior Data Analyst (Contract-to-hire),AdAction Interactive LLC,"Chicago, IL 60614 (Ranch Triangle area)","  This contract role offers significant opportunities for growth and advancement within the company, including the potential for full-time employment in roles… ·More...",,"$200,000 - $280,000 a year",
Data and Analytics Consultant,"Systems Evolution, Inc","Chicago, IL","  Experience with data modeling, data prep and machine learning tools like Alteryx, RapidMinder, RStudio and Tableau Prep. ·More...",,"$200,000 - $280,000 a year",
Data and Analytics Consultant,SEI,"Chicago, IL 60642 (West Town area)","  Experience with data modeling, data prep and machine learning tools like Alteryx, RapidMinder, RStudio and Tableau Prep. ·More...",,"$200,000 - $280,000 a year",
Army Civilian Readiness and Talent Management (CRTM) Operations Research/Systems Analysis (ORSA)/Data Scientist,Arcetyp LLC,"Chicago, IL 60606",  Facilitate enterprise data sharing with the formation of data standards for integrating marketing analytics from enterprise efforts (including local advertising… ·More...,,"$200,000 - $280,000 a year",
Senior Financial Data Analyst,EquipmentShare,"Remote in Chicago, IL",  Ability to swiftly extract key insights from data.  3+ years of experience focused on data analysis.  Design new dashboards to empower our branches with improved… ·More...,,"$200,000 - $280,000 a year",
Sr. Data Scientist,CEDENT,"Remote in Chicago, IL",  We are seeking an experienced data science individual contributor to enable deep insights and capabilities to our clients through advanced analytics and machine… ·More...,,"$200,000 - $280,000 a year",
"data scientist jobs in Chicago, IL",,,,,,
Deep Learning Researcher – HFT Prop-Firm,J.K. Barnes,"Chicago, IL",  At least 3 first-authored papers in the past 3 years.  We seek a Deep-Learning researcher with comprehensive academic or industrial experience in developing and… ·More...,,"$100,000 - $288,400 a year",
Senior Machine Learning Engineer,Fitch Group,"Chicago, IL",  Collaborate with data scientists to identify innovative machine learning and Gen AI solutions that leverage data to meet business goals. ·More...,,"$100,000 - $288,400 a year",
Sr. Data Scientist,CEDENT,"Remote in Chicago, IL",  We are seeking an experienced data science individual contributor to enable deep insights and capabilities to our clients through advanced analytics and machine… ·More...,,"$100,000 - $288,400 a year",
Lead Director - Data Science - AI,CVS Health,"Remote in Chicago, IL 60606","  Lead and manage a team of AI professionals, fostering a culture of innovation and continuous improvement.  Bachelor’s degree in Mathematics, Statistics, Computer… ·More...",,"$100,000 - $288,400 a year",
Product Owner - LLM & NLP,Intelligent Medical Objects,"Hybrid work in Chicago, IL",  Healthcare industry experience is highly preferred; familiarity with healthcare data and clinical code sets is a strong plus. ·More...,,"$100,000 - $288,400 a year",
Senior Risk Data Analyst,Kirkland and Ellis,"Hybrid work in Chicago, IL 60654","  Maintain data integrity through quality checks, data validation, and proper data storage.  Use statistical methods to interpret data and produce actionable… ·More...",,"$100,000 - $288,400 a year",
AI Product Analyst,S&P Global,"Remote in Chicago, IL 60601","  Cross-Functional Collaboration : Serve as a liaison between data scientists, engineers, and product managers to ensure that AI models meet usability,… ·More...",,"$100,000 - $288,400 a year",
"Sr. Director of Data, Analytics and AI",NinjaTrader,"Hybrid work in Chicago, IL","  10+ years relevant experience: building and managing high performing analytical teams, statistical techniques, advanced research design, and analytics/decision… ·More...",,"$100,000 - $288,400 a year",
Data Science Senior Consultant,"BearingPoint Consulting, Inc. USA","Chicago, IL 60606 (The Loop area)","  6+ years of experience in data science, with a strong focus on end-to-end delivery of machine learning solutions and full-stack capabilities (data engineering,… ·More...",,"$100,000 - $288,400 a year",
"Technical Curriculum Developer III, Data, Cloud Learning Services",Google,"Chicago, IL (West Town area)",  Experience creating and managing learning by collaborating with highly technical subject matter experts and managers to develop training content and curricula. ·More...,,"$100,000 - $288,400 a year",
Hybrid Work - Need Technical Lead - Generative AI in Chicago IL,Steneral Consulting,"Hybrid work in Chicago, IL 60691","  Lead and inspire a cross-functional team of data scientists, engineers, and architects.  As the Technical Lead for Generative AI, you will play a pivotal role in… ·More...",,"$100,000 - $288,400 a year",
"Data Scientist, Sr. Manager - PwC Intelligence",PRICE WATERHOUSE COOPERS,"Remote in Rosemont, IL",  Taking ownership of developing relationships across the organization and serving as a data subject matter specialist (SMS); ·More...,,"$100,000 - $288,400 a year",
"Senior Director, Enterprise Data Science & AI Delivery",Mars,"Chicago, IL 60601","  People Management: Lead the global team of data scientists, AI/ML engineers, and large language model engineers by providing technical guidance, coaching, and… ·More...",,"$100,000 - $288,400 a year",
Predictive Analytics / AI Design Sr Manager,Mars,"Chicago, IL 60601",  Exceptional leadership skills with experience in leading and managing a team of data scientists or architects.  Strong background in predictive analytics and AI. ·More...,,"$100,000 - $288,400 a year",
"Sr. Software Engineer II, Data & ML Platform",Zoro,"Chicago, IL","  By developing self-service solutions and streamlining data workflows, you will support data pipelines, machine learning workflows, and advanced analytics,… ·More...",,"$100,000 - $288,400 a year",
"data scientist jobs in Chicago, IL",,,,,,
Senior Data Scientist,Amazee Global Ventures Inc,"Chicago, IL",,,,Active 4 days ago
Senior Data Scientist,Reyes Holdings,"Rosemont, IL 60018",,,,
Data Scientist,WellBe Senior Medical,"Chicago, IL",,,,
"Associate Director, Data Science",AbelsonTaylor Group,"Chicago, IL",,,,
Director of Data Science,RecruiterDNA,"Hybrid work in Chicago, IL 60601",,,,Active 20 days ago
SAS / Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60601",,,,
Army Civilian Readiness and Talent Management (CRTM) Operations Research/Systems Analysis (ORSA)/Data Scientist,Arcetyp LLC,"Chicago, IL 60606",,,,
Principal Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60611",,,,
"Sr. Director of Data, Analytics and AI",NinjaTrader,"Hybrid work in Chicago, IL",,,,
Sr. Manager - Artificial Intelligence/Machine Learning Technologies & Architecture,Ingredion Incorporated,"Westchester, IL 60154",,,,
Principal AI Engineer,Teragonia,"Hybrid work in Chicago, IL 60607",,,,Active 3 days ago
Principal Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60601",,,,
"Senior Manager, Analytics",Adtalem Global Education,"Hybrid work in Chicago, IL 60661",,,,Active 4 days ago
SAS Programmer /Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL",,,,
"Associate Director, Risk Analytics and Data Science",Mitsubishi HC Capital America Inc,"Hybrid work in Itasca, IL 60143",,,,
"data scientist jobs in Chicago, IL",,,,,,
Senior Data Scientist,Amazee Global Ventures Inc,"Chicago, IL",,,,Active 4 days ago
Senior Data Scientist,Reyes Holdings,"Rosemont, IL 60018",,,,
Data Scientist,WellBe Senior Medical,"Chicago, IL",,,,
Director of Data Science,RecruiterDNA,"Hybrid work in Chicago, IL 60601",,,,Active 20 days ago
"Associate Director, Data Science",AbelsonTaylor Group,"Chicago, IL",,,,
Principal Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60611",,,,
SAS / Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60601",,,,
Army Civilian Readiness and Talent Management (CRTM) Operations Research/Systems Analysis (ORSA)/Data Scientist,Arcetyp LLC,"Chicago, IL 60606",,,,
"Sr. Director of Data, Analytics and AI",NinjaTrader,"Hybrid work in Chicago, IL",,,,
Sr. Manager - Artificial Intelligence/Machine Learning Technologies & Architecture,Ingredion Incorporated,"Westchester, IL 60154",,,,
Principal AI Engineer,Teragonia,"Hybrid work in Chicago, IL 60607",,,,Active 3 days ago
Principal Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL 60601",,,,
"Senior Manager, Analytics",Adtalem Global Education,"Hybrid work in Chicago, IL 60661",,,,Active 4 days ago
SAS Programmer /Statistical Programmer,Katalyst Healthcares & Life Sciences,"Chicago, IL",,,,
"Associate Director, Risk Analytics and Data Science",Mitsubishi HC Capital America Inc,"Hybrid work in Itasca, IL 60143",,,,
"data scientist jobs in Chicago, IL",,,,,,
"Team Lead, Machine Learning",ACV Auctions,"Chicago, IL","  Multiple medical plans including a high deductible health plan that costs $0 out of your paycheck.  ACV’s Machine Learning Team is looking for a talented,… ·More...",,$30 an hour,
